#MaxPV=1
1 2 3 1.500000
3 3 6 3.000000
4 5 9 4.500000
6 6 12 6.000000
7 8 15 7.500000
9 9 18 9.000000
10 11 21 10.500000
12 12 24 12.000000
13 14 27 13.500000
15 15 30 15.000000
22 23 45 22.500000
30 30 60 30.000000
37 38 75 37.500000
45 45 90 45.000000
52 53 105 52.500000
60 60 120 60.000000

#MaxPV=7
1 2 255 1.992188
3 4 510 3.984375
5 6 765 5.976562
7 8 1020 7.968750
9 10 1275 9.960938
11 12 1530 11.953125
13 14 1785 13.945312
15 16 2040 15.937500
17 18 2295 17.929688
19 20 2550 19.921875
29 30 3825 29.882812
39 40 5100 39.843750
49 50 6375 49.804688
59 60 7650 59.765625
69 70 8925 69.726562
79 80 10200 79.687500

#MAXPV=4
1 2 31 1.937500
3 4 62 3.875000
5 6 93 5.812500
7 8 124 7.750000
9 10 155 9.687500
11 12 186 11.625000
13 14 217 13.562500
15 16 248 15.500000
17 18 279 17.437500
19 20 310 19.375000
29 30 465 29.062500
38 39 620 38.750000
48 49 775 48.437500
58 59 930 58.125000
67 68 1085 67.812500
77 78 1240 77.500000

#MAXPV=10
1 2 2047 1.999023
3 4 4094 3.998047
5 6 6141 5.997070
7 8 8188 7.996094
9 10 10235 9.995117
11 12 12282 11.994141
13 14 14329 13.993164
15 16 16376 15.992188
17 18 18423 17.991211
19 20 20470 19.990234
29 30 30705 29.985352
39 40 40940 39.980469
49 50 51175 49.975586
59 60 61410 59.970703
69 70 71645 69.965820
79 80 81880 79.960938
